ville,date,temperature,humidite,pluie,vent,description,score_meteo,ideal_temp,low_rain,low_wind
Antalaha,2021-07-05,25.60,79.00,2.30,17.70,inconnu,18,True,False,False
Antalaha,2021-07-06,24.70,85.00,5.00,18.60,inconnu,7,True,False,False
Antalaha,2021-07-07,24.10,86.00,2.10,20.10,inconnu,14,True,False,False
Antalaha,2021-07-08,24.70,82.00,0.90,21.80,inconnu,20,True,True,False
Antalaha,2021-07-09,25.70,84.00,3.90,23.20,inconnu,13,True,False,False
Antalaha,2021-07-10,25.00,86.00,4.00,23.00,inconnu,11,True,False,False
Antalaha,2021-07-11,23.30,87.00,6.70,20.80,inconnu,0,True,False,False
Antalaha,2021-07-12,25.00,85.00,4.50,23.30,inconnu,9,True,False,False
Antalaha,2021-07-13,24.80,83.00,2.00,23.90,inconnu,17,True,False,False
Antalaha,2021-07-14,23.30,86.00,1.90,20.30,inconnu,13,True,False,False
Antalaha,2021-07-15,23.50,81.00,2.00,19.80,inconnu,14,True,False,False
Antalaha,2021-07-16,24.60,78.00,3.60,20.00,inconnu,12,True,False,False
Antalaha,2021-07-17,24.40,81.00,1.20,21.00,inconnu,18,True,False,False
Antalaha,2021-07-18,24.20,84.00,1.10,15.50,inconnu,18,True,False,False
Antalaha,2021-07-19,22.60,92.00,22.70,16.70,inconnu,0,True,False,False
Antalaha,2021-07-20,23.80,88.00,4.30,20.70,inconnu,6,True,False,False
Antalaha,2021-07-21,25.00,84.00,4.50,20.80,inconnu,10,True,False,False
Antalaha,2021-07-22,25.10,82.00,3.40,19.90,inconnu,13,True,False,False
Antalaha,2021-07-23,22.90,86.00,2.40,17.40,inconnu,10,True,False,False
Antalaha,2021-07-24,24.70,81.00,1.80,17.80,inconnu,17,True,False,False
Antalaha,2021-07-25,22.60,85.00,8.70,22.50,inconnu,0,True,False,False
Antalaha,2021-07-26,21.00,88.00,7.60,17.10,inconnu,0,True,False,False
Antalaha,2021-07-27,24.70,81.00,0.20,17.90,inconnu,22,True,True,False
Antalaha,2021-07-28,24.40,82.00,1.10,20.00,inconnu,19,True,False,False
Antalaha,2021-07-29,24.50,90.00,2.90,16.80,inconnu,12,True,False,False
Antalaha,2021-07-30,24.00,88.00,7.00,24.10,inconnu,0,True,False,False
Antalaha,2021-07-31,24.70,80.00,2.00,23.20,inconnu,17,True,False,False
Antalaha,2021-08-01,23.10,87.00,6.90,20.00,inconnu,0,True,False,False
Antalaha,2021-08-02,24.50,84.00,1.90,16.10,inconnu,16,True,False,False
Antalaha,2021-08-03,25.30,84.00,0.10,18.80,inconnu,23,True,True,False
Antalaha,2021-08-04,24.80,77.00,0.20,20.40,inconnu,23,True,True,False
Antalaha,2021-08-05,22.10,91.00,7.80,21.10,inconnu,0,True,False,False
Antalaha,2021-08-06,24.40,79.00,0.80,21.00,inconnu,20,True,True,False
Antalaha,2021-08-07,23.30,85.00,1.40,17.70,inconnu,14,True,False,False
Antalaha,2021-08-08,25.40,82.00,0.00,18.60,inconnu,24,True,True,False
Antalaha,2021-08-09,24.50,85.00,0.80,14.70,inconnu,19,True,True,True
Antalaha,2021-08-10,25.20,84.00,0.50,18.60,inconnu,22,True,True,False
Antalaha,2021-08-11,25.30,79.00,0.00,20.50,inconnu,25,True,True,False
Antalaha,2021-08-12,24.20,88.00,3.60,14.10,inconnu,10,True,False,True
Antalaha,2021-08-13,24.60,86.00,1.20,15.90,inconnu,18,True,False,False
Antalaha,2021-08-14,26.20,79.00,0.00,21.10,peu nuageux,27,True,True,False
Antalaha,2021-08-15,24.10,77.00,0.90,26.10,inconnu,19,True,True,False
Antalaha,2021-08-16,25.10,73.00,0.20,25.10,inconnu,24,True,True,False
Antalaha,2021-08-17,24.60,75.00,0.30,23.80,inconnu,23,True,True,False
Antalaha,2021-08-18,23.70,85.00,4.70,21.10,inconnu,5,True,False,False
Antalaha,2021-08-19,24.10,90.00,7.60,15.10,inconnu,0,True,False,False
Antalaha,2021-08-20,24.80,85.00,6.80,18.50,inconnu,2,True,False,False
Antalaha,2021-08-21,25.70,77.00,0.00,20.40,inconnu,26,True,True,False
Antalaha,2021-08-22,25.60,78.00,0.00,21.70,inconnu,26,True,True,False
Antalaha,2021-08-23,25.60,80.00,0.20,18.90,inconnu,25,True,True,False
Antalaha,2021-08-24,24.80,78.00,2.00,20.70,inconnu,18,True,False,False
Antalaha,2021-08-25,25.20,78.00,0.00,21.90,inconnu,25,True,True,False
Antalaha,2021-08-26,24.80,77.00,0.20,22.90,inconnu,23,True,True,False
Antalaha,2021-08-27,25.20,72.00,0.00,22.70,peu nuageux,26,True,True,False
Antalaha,2021-08-28,26.10,84.00,3.20,18.90,inconnu,16,True,False,False
Antalaha,2021-08-29,24.50,91.00,12.00,24.00,inconnu,0,True,False,False
Antalaha,2021-08-30,24.50,92.00,22.50,18.90,inconnu,0,True,False,False
Antalaha,2021-08-31,25.30,88.00,4.20,17.60,inconnu,10,True,False,False
Antalaha,2021-09-01,25.60,83.00,2.10,20.10,inconnu,18,True,False,False
Antalaha,2021-09-02,25.80,79.00,1.30,23.70,inconnu,22,True,False,False
Antalaha,2021-09-03,24.70,80.00,1.70,26.10,inconnu,18,True,False,False
Antalaha,2021-09-04,25.80,73.00,0.40,24.00,inconnu,26,True,True,False
Antalaha,2021-09-05,26.00,74.00,0.30,23.30,inconnu,26,True,True,False
Antalaha,2021-09-06,23.80,86.00,14.30,22.50,inconnu,0,True,False,False
Antalaha,2021-09-07,24.10,86.00,13.30,21.40,inconnu,0,True,False,False
Antalaha,2021-09-08,24.60,82.00,0.50,18.10,inconnu,21,True,True,False
Antalaha,2021-09-09,24.90,81.00,0.30,16.40,inconnu,22,True,True,False
Antalaha,2021-09-10,24.80,79.00,0.40,22.00,inconnu,22,True,True,False
Antalaha,2021-09-11,25.00,75.00,0.90,24.50,inconnu,22,True,True,False
Antalaha,2021-09-12,24.90,81.00,4.90,25.50,inconnu,9,True,False,False
Antalaha,2021-09-13,24.00,89.00,7.80,21.30,inconnu,0,True,False,False
Antalaha,2021-09-14,23.50,87.00,3.00,19.60,inconnu,10,True,False,False
Antalaha,2021-09-15,24.90,82.00,1.60,18.80,inconnu,18,True,False,False
Antalaha,2021-09-16,24.70,85.00,1.30,15.60,inconnu,18,True,False,False
Antalaha,2021-09-17,25.50,86.00,0.60,11.50,inconnu,24,True,True,True
Antalaha,2021-09-18,26.00,87.00,0.00,17.50,peu nuageux,25,True,True,False
Antalaha,2021-09-19,25.30,88.00,2.50,22.20,inconnu,16,True,False,False
Antalaha,2021-09-20,24.70,73.00,0.10,23.10,inconnu,24,True,True,False
Antalaha,2021-09-21,25.50,75.00,0.00,23.70,inconnu,26,True,True,False
Antalaha,2021-09-22,25.20,81.00,0.30,20.60,inconnu,23,True,True,False
Antalaha,2021-09-23,25.50,79.00,0.40,24.00,inconnu,24,True,True,False
Antalaha,2021-09-24,26.30,77.00,0.50,23.50,inconnu,26,True,True,False
Antalaha,2021-09-25,26.40,81.00,4.00,22.20,inconnu,15,True,False,False
Antalaha,2021-09-26,26.10,77.00,1.50,24.60,inconnu,22,True,False,False
Antalaha,2021-09-27,25.90,80.00,4.80,25.90,inconnu,12,True,False,False
Antalaha,2021-09-28,25.80,84.00,3.60,22.90,inconnu,14,True,False,False
Antalaha,2021-09-29,24.00,84.00,2.10,20.40,inconnu,14,True,False,False
Antalaha,2021-09-30,25.20,81.00,1.10,19.10,inconnu,21,True,False,False
Antalaha,2021-10-01,25.60,81.00,1.30,17.60,inconnu,21,True,False,False
Antalaha,2021-10-02,25.70,84.00,3.60,18.30,inconnu,14,True,False,False
Antalaha,2021-10-03,25.50,85.00,1.50,18.50,inconnu,20,True,False,False
Antalaha,2021-10-04,24.30,88.00,8.70,14.80,inconnu,0,True,False,True
Antalaha,2021-10-05,26.80,81.00,0.10,21.70,inconnu,28,True,True,False
Antalaha,2021-10-06,26.70,78.00,0.00,17.20,inconnu,28,True,True,False
Antalaha,2021-10-07,26.30,81.00,0.00,14.10,inconnu,27,True,True,True
Antalaha,2021-10-08,24.50,83.00,2.40,19.20,inconnu,15,True,False,False
Antalaha,2021-10-09,26.80,72.00,0.00,27.50,inconnu,30,True,True,False
Antalaha,2021-10-10,26.70,75.00,0.10,22.20,inconnu,28,True,True,False
Antalaha,2021-10-11,27.10,79.00,0.30,27.90,inconnu,28,True,True,False
Antalaha,2021-10-12,26.80,77.00,3.70,27.10,inconnu,18,True,False,False
Antalaha,2021-10-13,26.90,85.00,8.60,18.80,inconnu,2,True,False,False
Antalaha,2021-10-14,27.40,84.00,1.00,22.00,inconnu,26,True,False,False
Antalaha,2021-10-15,27.20,79.00,1.70,22.80,inconnu,24,True,False,False
Antalaha,2021-10-16,26.20,75.00,0.60,21.40,inconnu,26,True,True,False
Antalaha,2021-10-17,26.40,80.00,3.20,20.10,inconnu,18,True,False,False
Antalaha,2021-10-18,26.40,82.00,8.80,19.90,inconnu,0,True,False,False
Antalaha,2021-10-19,26.00,83.00,4.20,14.60,inconnu,13,True,False,True
Antalaha,2021-10-20,26.50,82.00,1.30,15.50,inconnu,23,True,False,False
Antalaha,2021-10-21,27.40,81.00,0.00,16.20,inconnu,30,True,True,False
Antalaha,2021-10-22,27.80,85.00,0.10,15.80,inconnu,30,True,True,False
Antalaha,2021-10-23,27.90,87.00,2.90,14.50,inconnu,21,True,False,True
Antalaha,2021-10-24,25.60,91.00,7.90,9.30,inconnu,3,True,False,True
Antalaha,2021-10-25,27.50,85.00,2.50,19.50,inconnu,22,True,False,False
Antalaha,2021-10-26,27.20,79.00,1.00,23.50,inconnu,26,True,False,False
Antalaha,2021-10-27,27.00,82.00,2.40,17.40,inconnu,21,True,False,False
Antalaha,2021-10-28,26.90,84.00,0.00,16.30,inconnu,28,True,True,False
Antalaha,2021-10-29,28.90,80.00,3.50,14.40,inconnu,23,False,False,True
Antalaha,2021-10-30,27.00,81.00,0.30,21.90,inconnu,28,True,True,False
Antalaha,2021-10-31,27.00,84.00,1.30,12.50,inconnu,26,True,False,True
Antalaha,2021-11-01,27.20,86.00,1.50,12.60,inconnu,25,True,False,True
Antalaha,2021-11-02,27.90,85.00,0.70,12.20,inconnu,30,True,True,True
Antalaha,2021-11-03,27.50,88.00,0.90,12.20,inconnu,28,True,True,True
Antalaha,2021-11-04,27.80,85.00,1.30,13.70,inconnu,27,True,False,True
Antalaha,2021-11-05,27.90,84.00,0.00,13.50,inconnu,31,True,True,True
Antalaha,2021-11-06,28.50,77.00,0.00,22.90,inconnu,33,False,True,False
Antalaha,2021-11-07,29.60,75.00,0.10,23.10,inconnu,36,False,True,False
Antalaha,2021-11-08,28.80,82.00,2.20,20.10,inconnu,26,False,False,False
Antalaha,2021-11-09,28.60,86.00,2.00,15.80,inconnu,26,False,False,False
Antalaha,2021-11-10,28.20,86.00,0.80,12.90,inconnu,30,False,True,True
Antalaha,2021-11-11,27.80,84.00,3.30,11.30,inconnu,23,True,False,True
Antalaha,2021-11-12,27.50,86.00,1.90,13.80,inconnu,24,True,False,True
Antalaha,2021-11-13,27.60,82.00,2.50,15.50,inconnu,22,True,False,False
Antalaha,2021-11-14,28.60,80.00,2.20,15.70,inconnu,26,False,False,False
Antalaha,2021-11-15,28.50,81.00,1.60,17.10,inconnu,27,False,False,False
Antalaha,2021-11-16,28.30,84.00,1.30,14.90,inconnu,27,False,False,True
Antalaha,2021-11-17,28.20,79.00,0.60,17.60,inconnu,30,False,True,False
Antalaha,2021-11-18,29.60,71.00,0.60,21.30,inconnu,35,False,True,False
Antalaha,2021-11-19,28.30,77.00,1.20,17.10,inconnu,29,False,False,False
Antalaha,2021-11-20,28.10,78.00,0.40,14.70,inconnu,31,False,True,True
Antalaha,2021-11-21,28.20,81.00,1.20,14.00,inconnu,29,False,False,True
Antalaha,2021-11-22,28.10,83.00,0.70,14.80,inconnu,29,False,True,True
Antalaha,2021-11-23,28.40,79.00,1.70,15.80,inconnu,27,False,False,False
Antalaha,2021-11-24,29.20,77.00,0.60,18.30,inconnu,33,False,True,False
Antalaha,2021-11-25,28.70,79.00,0.00,16.60,inconnu,33,False,True,False
Antalaha,2021-11-26,29.10,80.00,0.70,16.60,inconnu,32,False,True,False
Antalaha,2021-11-27,28.70,80.00,1.20,15.60,inconnu,29,False,False,False
Antalaha,2021-11-28,28.10,83.00,1.60,16.20,inconnu,26,False,False,False
Antalaha,2021-11-29,28.10,82.00,1.20,16.00,inconnu,27,False,False,False
Antalaha,2021-11-30,29.20,74.00,1.00,16.20,inconnu,32,False,False,False
Antalaha,2021-12-01,28.90,74.00,1.30,20.00,inconnu,31,False,False,False
Antalaha,2021-12-02,29.30,75.00,0.80,22.10,inconnu,33,False,True,False
Antalaha,2021-12-03,29.50,78.00,1.10,21.10,inconnu,32,False,False,False
Antalaha,2021-12-04,29.90,79.00,2.60,19.70,inconnu,28,False,False,False
Antalaha,2021-12-05,29.20,79.00,0.70,22.40,inconnu,32,False,True,False
Antalaha,2021-12-06,29.70,79.00,3.60,21.20,inconnu,25,False,False,False
Antalaha,2021-12-07,28.70,76.00,1.10,21.60,inconnu,30,False,False,False
Antalaha,2021-12-08,28.60,79.00,1.40,17.40,inconnu,29,False,False,False
Antalaha,2021-12-09,28.60,80.00,0.30,15.80,inconnu,32,False,True,False
Antalaha,2021-12-10,28.40,82.00,2.10,14.90,inconnu,26,False,False,True
Antalaha,2021-12-11,29.30,76.00,1.30,20.80,inconnu,31,False,False,False
Antalaha,2021-12-12,28.70,79.00,2.20,19.00,inconnu,26,False,False,False
Antalaha,2021-12-13,29.10,76.00,0.50,21.10,inconnu,33,False,True,False
Antalaha,2021-12-14,29.20,75.00,0.50,19.90,inconnu,34,False,True,False
Antalaha,2021-12-15,29.10,78.00,1.60,18.80,inconnu,29,False,False,False
Antalaha,2021-12-16,29.00,79.00,3.50,19.80,inconnu,23,False,False,False
Antalaha,2021-12-17,28.80,82.00,2.70,16.30,inconnu,25,False,False,False
Antalaha,2021-12-18,29.20,83.00,0.40,13.10,inconnu,34,False,True,True
Antalaha,2021-12-19,30.50,82.00,2.40,17.00,inconnu,29,False,False,False
Antalaha,2021-12-20,28.90,86.00,5.80,12.60,inconnu,17,False,False,True
Antalaha,2021-12-21,29.70,85.00,3.70,13.90,inconnu,24,False,False,True
Antalaha,2021-12-22,30.10,84.00,0.50,15.50,inconnu,34,False,True,False
Antalaha,2021-12-23,30.60,83.00,0.10,17.60,inconnu,35,False,True,False
Antalaha,2021-12-24,30.70,83.00,0.00,19.40,inconnu,36,False,True,False
Antalaha,2021-12-25,31.20,79.00,0.00,16.80,inconnu,36,False,True,False
Antalaha,2021-12-26,30.50,83.00,0.10,17.90,inconnu,35,False,True,False
Antalaha,2021-12-27,30.00,81.00,0.80,17.30,inconnu,34,False,True,False
Antalaha,2021-12-28,30.10,78.00,0.00,15.90,inconnu,37,False,True,False
Antalaha,2021-12-29,30.50,75.00,0.10,16.10,inconnu,37,False,True,False
Antalaha,2021-12-30,30.60,79.00,4.80,17.10,inconnu,22,False,False,False
Antalaha,2021-12-31,29.90,83.00,5.30,14.80,inconnu,20,False,False,True
Antalaha,2022-01-01,29.30,83.00,3.90,14.80,inconnu,22,False,False,True
Antalaha,2022-01-02,29.30,84.00,6.60,13.80,inconnu,15,False,False,True
Antalaha,2022-01-03,29.80,81.00,1.60,15.80,inconnu,31,False,False,False
Antalaha,2022-01-04,31.30,79.00,5.30,18.40,inconnu,20,False,False,False
Antalaha,2022-01-05,29.10,85.00,7.30,12.10,inconnu,13,False,False,True
Antalaha,2022-01-06,28.70,88.00,6.30,9.90,inconnu,16,False,False,True
Antalaha,2022-01-07,28.70,88.00,11.50,12.50,inconnu,3,False,False,True
Antalaha,2022-01-08,28.10,89.00,23.70,13.10,inconnu,1,False,False,True
Antalaha,2022-01-09,29.10,89.00,10.30,13.90,inconnu,3,False,False,True
Antalaha,2022-01-10,28.10,91.00,47.20,13.70,inconnu,0,False,False,True
Antalaha,2022-01-11,28.80,87.00,11.10,10.50,inconnu,5,False,False,True
Antalaha,2022-01-12,29.40,87.00,2.90,15.20,inconnu,25,False,False,False
Antalaha,2022-01-13,29.50,88.00,0.30,13.50,inconnu,34,False,True,True
Antalaha,2022-01-14,30.50,85.00,0.00,14.20,inconnu,36,False,True,True
Antalaha,2022-01-15,30.60,86.00,4.30,15.10,inconnu,22,False,False,False
Antalaha,2022-01-16,31.00,85.00,2.80,12.60,inconnu,29,False,False,True
Antalaha,2022-01-17,30.10,87.00,0.00,12.40,inconnu,37,False,True,True
Antalaha,2022-01-18,30.80,86.00,18.70,13.60,inconnu,6,False,False,True
Antalaha,2022-01-19,29.90,87.00,3.70,11.60,inconnu,26,False,False,True
Antalaha,2022-01-20,28.90,89.00,20.90,10.00,inconnu,5,False,False,True
Antalaha,2022-01-21,29.20,89.00,20.20,14.60,inconnu,3,False,False,True
Antalaha,2022-01-22,28.10,90.00,38.00,12.20,inconnu,2,False,False,True
Antalaha,2022-01-23,26.10,92.00,32.10,9.10,inconnu,0,True,False,True
Antalaha,2022-01-24,27.60,90.00,22.70,9.80,inconnu,2,True,False,True
Antalaha,2022-01-25,25.50,92.00,35.30,11.00,inconnu,0,True,False,True
Antalaha,2022-01-26,27.10,86.00,5.90,17.00,inconnu,10,True,False,False
Antalaha,2022-01-27,28.20,78.00,2.60,18.70,inconnu,24,False,False,False
Antalaha,2022-01-28,29.90,77.00,0.40,19.00,inconnu,35,False,True,False
Antalaha,2022-01-29,29.40,83.00,0.00,22.30,inconnu,34,False,True,False
Antalaha,2022-01-30,30.10,84.00,7.30,15.80,inconnu,14,False,False,False
Antalaha,2022-01-31,31.30,79.00,1.50,20.50,inconnu,32,False,False,False
Antalaha,2022-02-01,31.40,78.00,0.00,20.70,inconnu,37,False,True,False
Antalaha,2022-02-02,32.20,76.00,0.00,15.90,inconnu,37,False,True,False
Antalaha,2022-02-03,31.40,81.00,1.60,19.50,inconnu,31,False,False,False
Antalaha,2022-02-04,30.20,85.00,0.30,18.20,inconnu,34,False,True,False
Antalaha,2022-02-05,30.90,84.00,0.00,11.80,inconnu,38,False,True,True
Antalaha,2022-02-06,30.60,88.00,0.00,13.10,inconnu,36,False,True,True
Antalaha,2022-02-07,30.50,85.00,0.00,11.20,inconnu,38,False,True,True
Antalaha,2022-02-08,30.40,88.00,25.60,12.10,inconnu,7,False,False,True
Antalaha,2022-02-09,29.30,88.00,8.10,11.10,inconnu,11,False,False,True
Antalaha,2022-02-10,28.80,88.00,5.40,13.40,inconnu,17,False,False,True
Antalaha,2022-02-11,28.60,87.00,5.60,15.60,inconnu,15,False,False,False
Antalaha,2022-02-12,27.80,87.00,5.20,14.00,inconnu,15,True,False,True
Antalaha,2022-02-13,28.30,88.00,4.10,15.60,inconnu,18,False,False,False
Antalaha,2022-02-14,30.20,84.00,2.40,17.30,inconnu,28,False,False,False
Antalaha,2022-02-15,29.90,82.00,3.60,14.10,inconnu,25,False,False,True
Antalaha,2022-02-16,29.00,87.00,12.80,13.20,inconnu,4,False,False,True
Antalaha,2022-02-17,30.80,82.00,3.70,23.40,inconnu,25,False,False,False
Antalaha,2022-02-18,30.50,79.00,0.00,23.30,inconnu,36,False,True,False
Antalaha,2022-02-19,31.00,78.00,1.20,17.10,inconnu,33,False,False,False
Antalaha,2022-02-20,31.90,74.00,0.00,16.00,inconnu,37,False,True,False
Antalaha,2022-02-21,33.30,78.00,1.60,15.80,inconnu,32,False,False,False
Antalaha,2022-02-22,31.30,83.00,0.40,21.00,inconnu,34,False,True,False
Antalaha,2022-02-23,31.10,85.00,0.00,17.70,inconnu,35,False,True,False
Antalaha,2022-02-24,31.10,85.00,0.10,10.70,inconnu,38,False,True,True
Antalaha,2022-02-25,30.10,88.00,1.30,11.20,inconnu,33,False,False,True
Antalaha,2022-02-26,30.00,88.00,25.70,11.30,inconnu,7,False,False,True
Antalaha,2022-02-27,28.60,89.00,10.00,11.50,inconnu,4,False,False,True
Antalaha,2022-02-28,28.20,89.00,26.50,12.60,inconnu,2,False,False,True
Antalaha,2022-03-01,29.20,90.00,10.80,10.50,inconnu,6,False,False,True
Antalaha,2022-03-02,29.20,88.00,6.70,10.80,inconnu,16,False,False,True
Antalaha,2022-03-03,29.20,89.00,6.30,11.20,inconnu,16,False,False,True
Antalaha,2022-03-04,29.30,89.00,17.80,12.80,inconnu,4,False,False,True
Antalaha,2022-03-05,30.30,88.00,15.20,9.90,inconnu,8,False,False,True
Antalaha,2022-03-06,30.30,84.00,2.90,17.70,inconnu,27,False,False,False
Antalaha,2022-03-07,29.00,88.00,26.60,12.40,inconnu,4,False,False,True
Antalaha,2022-03-08,26.50,92.00,67.10,27.00,inconnu,0,True,False,False
Antalaha,2022-03-09,29.80,89.00,5.40,10.90,inconnu,21,False,False,True
Antalaha,2022-03-10,28.30,91.00,20.40,10.60,inconnu,3,False,False,True
Antalaha,2022-03-11,29.00,88.00,7.80,19.70,inconnu,9,False,False,False
Antalaha,2022-03-12,29.20,87.00,3.70,16.70,inconnu,22,False,False,False
Antalaha,2022-03-13,28.10,86.00,14.40,20.40,inconnu,0,False,False,False
Antalaha,2022-03-14,25.80,91.00,28.10,16.40,inconnu,0,True,False,False
Antalaha,2022-03-15,27.40,92.00,20.80,14.50,inconnu,0,True,False,True
Antalaha,2022-03-16,28.50,87.00,3.30,13.70,inconnu,22,False,False,True
Antalaha,2022-03-17,28.60,89.00,3.10,11.80,inconnu,24,False,False,True
Antalaha,2022-03-18,28.60,89.00,0.50,14.10,inconnu,30,False,True,True
Antalaha,2022-03-19,29.10,89.00,4.60,11.80,inconnu,21,False,False,True
Antalaha,2022-03-20,28.20,89.00,6.50,11.30,inconnu,13,False,False,True
Antalaha,2022-03-21,28.90,80.00,2.60,19.80,inconnu,26,False,False,False
Antalaha,2022-03-22,28.40,84.00,7.80,18.30,inconnu,8,False,False,False
Antalaha,2022-03-23,29.50,85.00,3.20,19.00,inconnu,24,False,False,False
Antalaha,2022-03-24,29.40,88.00,8.70,17.60,inconnu,7,False,False,False
Antalaha,2022-03-25,28.90,89.00,0.90,14.00,inconnu,30,False,True,True
Antalaha,2022-03-26,28.90,89.00,0.70,15.30,inconnu,30,False,True,False
Antalaha,2022-03-27,29.00,86.00,1.50,12.60,inconnu,30,False,False,True
Antalaha,2022-03-28,28.90,89.00,0.40,10.20,inconnu,34,False,True,True
Antalaha,2022-03-29,28.60,88.00,1.60,16.20,inconnu,27,False,False,False
Antalaha,2022-03-30,29.30,87.00,11.90,15.90,inconnu,3,False,False,False
Antalaha,2022-03-31,27.30,90.00,9.70,13.80,inconnu,0,True,False,True
Antalaha,2022-04-01,26.40,88.00,14.70,18.70,inconnu,0,True,False,False
Antalaha,2022-04-02,28.80,84.00,5.70,17.10,inconnu,15,False,False,False
Antalaha,2022-04-03,30.40,83.00,0.50,20.90,inconnu,34,False,True,False
Antalaha,2022-04-04,29.90,88.00,2.90,11.20,inconnu,28,False,False,True
Antalaha,2022-04-05,29.40,89.00,2.10,15.10,inconnu,27,False,False,False
Antalaha,2022-04-06,29.60,89.00,3.50,20.10,inconnu,23,False,False,False
Antalaha,2022-04-07,28.90,89.00,8.60,14.00,inconnu,7,False,False,True
Antalaha,2022-04-08,27.60,91.00,10.40,16.30,inconnu,0,True,False,False
Antalaha,2022-04-09,28.60,85.00,0.40,20.70,inconnu,31,False,True,False
Antalaha,2022-04-10,28.40,84.00,3.00,19.50,inconnu,22,False,False,False
Antalaha,2022-04-11,25.80,89.00,15.20,18.50,inconnu,0,True,False,False
Antalaha,2022-04-12,28.60,82.00,0.70,22.90,inconnu,30,False,True,False
Antalaha,2022-04-13,28.30,84.00,4.40,18.20,inconnu,18,False,False,False
Antalaha,2022-04-14,28.90,86.00,3.10,20.50,inconnu,23,False,False,False
Antalaha,2022-04-15,28.40,88.00,14.80,19.40,inconnu,1,False,False,False
Antalaha,2022-04-16,28.40,84.00,5.40,21.10,inconnu,15,False,False,False
Antalaha,2022-04-17,29.00,83.00,0.70,20.40,inconnu,31,False,True,False
Antalaha,2022-04-18,29.30,81.00,0.20,22.70,inconnu,34,False,True,False
Antalaha,2022-04-19,29.50,83.00,3.80,20.10,inconnu,23,False,False,False
Antalaha,2022-04-20,27.40,91.00,38.90,22.50,inconnu,0,True,False,False
Antalaha,2022-04-21,24.90,94.00,56.90,17.60,inconnu,0,True,False,False
Antalaha,2022-04-22,27.80,90.00,4.10,15.50,inconnu,17,True,False,False
Antalaha,2022-04-23,27.30,89.00,8.70,15.30,inconnu,2,True,False,False
Antalaha,2022-04-24,27.30,85.00,34.00,17.70,inconnu,0,True,False,False
Antalaha,2022-04-25,27.60,81.00,1.20,17.80,inconnu,26,True,False,False
Antalaha,2022-04-26,27.80,82.00,2.30,14.40,inconnu,24,True,False,True
Antalaha,2022-04-27,27.40,89.00,0.70,10.50,inconnu,29,True,True,True
Antalaha,2022-04-28,28.50,86.00,4.20,19.80,inconnu,19,False,False,False
Antalaha,2022-04-29,28.20,78.00,0.00,20.20,inconnu,32,False,True,False
Antalaha,2022-04-30,27.10,84.00,0.00,16.20,inconnu,28,True,True,False
Antalaha,2022-05-01,28.00,89.00,0.20,17.10,inconnu,29,True,True,False
Antalaha,2022-05-02,28.20,83.00,0.40,18.20,inconnu,30,False,True,False
Antalaha,2022-05-03,27.70,83.00,0.90,21.40,inconnu,27,True,True,False
Antalaha,2022-05-04,27.90,81.00,0.70,21.20,inconnu,29,True,True,False
Antalaha,2022-05-05,27.80,80.00,0.80,22.70,inconnu,28,True,True,False
Antalaha,2022-05-06,28.30,86.00,3.40,18.20,inconnu,21,False,False,False
Antalaha,2022-05-07,27.50,88.00,1.90,15.00,inconnu,23,True,False,False
Antalaha,2022-05-08,27.00,87.00,1.00,13.80,inconnu,25,True,False,True
Antalaha,2022-05-09,27.40,88.00,1.40,12.20,inconnu,26,True,False,True
Antalaha,2022-05-10,28.10,89.00,0.00,12.40,inconnu,32,False,True,True
Antalaha,2022-05-11,27.60,90.00,4.00,13.50,inconnu,18,True,False,True
Antalaha,2022-05-12,28.10,85.00,0.50,18.60,inconnu,29,False,True,False
Antalaha,2022-05-13,27.20,79.00,0.10,18.80,inconnu,29,True,True,False
Antalaha,2022-05-14,28.00,75.00,0.00,23.30,peu nuageux,32,True,True,False
Antalaha,2022-05-15,28.00,74.00,0.00,22.70,inconnu,32,True,True,False
Antalaha,2022-05-16,27.40,79.00,1.60,18.50,inconnu,25,True,False,False
Antalaha,2022-05-17,27.50,82.00,0.90,21.80,inconnu,27,True,True,False
Antalaha,2022-05-18,25.00,87.00,9.50,23.70,inconnu,0,True,False,False
Antalaha,2022-05-19,27.20,76.00,0.00,21.00,inconnu,30,True,True,False
Antalaha,2022-05-20,26.30,83.00,2.50,21.30,inconnu,19,True,False,False
Antalaha,2022-05-21,26.20,82.00,1.50,20.50,inconnu,22,True,False,False
Antalaha,2022-05-22,26.70,83.00,2.40,18.70,inconnu,20,True,False,False
Antalaha,2022-05-23,26.80,80.00,0.70,20.50,inconnu,26,True,True,False
Antalaha,2022-05-24,26.70,82.00,0.40,16.60,inconnu,26,True,True,False
Antalaha,2022-05-25,26.60,87.00,0.40,15.10,inconnu,25,True,True,False
Antalaha,2022-05-26,27.10,84.00,0.00,14.70,inconnu,28,True,True,True
Antalaha,2022-05-27,27.10,84.00,0.20,15.60,inconnu,28,True,True,False
Antalaha,2022-05-28,26.90,82.00,1.20,18.70,inconnu,24,True,False,False
Antalaha,2022-05-29,25.70,79.00,3.90,24.00,inconnu,14,True,False,False
Antalaha,2022-05-30,26.50,74.00,0.00,22.50,inconnu,28,True,True,False
Antalaha,2022-05-31,25.70,75.00,0.00,20.20,inconnu,26,True,True,False
Antalaha,2022-06-01,26.30,82.00,0.10,16.60,inconnu,26,True,True,False
